State,p,d,q,P,D,Q,S
AN,2,0,0,0,0,1,7
AP,1,0,2,1,0,0,7
AR,2,0,2,0,0,0,7
AS,1,0,1,0,0,0,7
BR,1,0,0,0,0,0,7
CH,1,0,1,0,0,1,7
CT,1,0,2,0,0,0,7
DN,1,0,2,1,0,0,7
DD,0,0,0,0,0,0,7
DL,1,0,2,0,0,0,7
GA,1,0,1,0,0,1,7
GJ,1,0,0,0,0,0,7
HR,1,0,0,1,0,0,7
HP,1,0,0,0,0,0,7
JK,2,0,0,0,0,0,7
JH,2,0,2,0,0,0,7
KA,1,0,1,0,0,0,7
KL,1,0,2,0,0,0,7
LA,1,0,1,0,0,0,7
LD,0,0,0,0,0,0,7
MP,2,0,2,0,0,0,7
MH,1,0,0,0,0,0,7
MN,1,0,2,0,0,1,7
ML,1,0,0,0,0,0,7
MZ,1,0,2,0,0,0,7
NL,1,0,2,0,0,0,7
OR,2,0,1,0,0,0,7
PY,1,0,1,1,0,0,7
PB,1,0,0,0,0,1,7
RJ,1,0,0,0,0,0,7
SK,1,0,1,0,0,0,7
TN,1,0,1,0,0,0,7
TG,1,0,1,0,0,1,7
TR,1,0,2,0,0,1,7
UP,2,0,1,1,0,0,7
UT,1,0,1,0,0,0,7
WB,1,0,0,0,0,0,7
UN,1,0,0,0,0,1,7
